STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,freq,Time frequency,unit,Unit of measure,mot_nrg,Motor energy,geo,Geopolitical entity (reporting),TIME_PERIOD,Time,OBS_VALUE,Observation value,OBS_FLAG,Observation status (Flag) V2 structure,CONF_STATUS,Confidentiality status (flag)
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,AL,Albania,2016,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,AL,Albania,2017,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,AL,Albania,2018,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,AL,Albania,2019,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,AT,Austria,2013,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,AT,Austria,2014,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,AT,Austria,2015,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,AT,Austria,2016,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,AT,Austria,2017,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,AT,Austria,2018,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,AT,Austria,2019,,0,,,,,
dataflow,ESTAT:ROAD_EQS_BUSMOT(1.0),"Motor coaches, buses and trolley buses, by type of motor energy",A,Annual,NR,Number,ELC_DIE_PI,Plug-in hybrid diesel-electric  ,AT,Austria,2020,,0,,,,,
